"refext","route","pr","abs","dep","siredo","libelle","source","reg","nomreg","metropole","longitude","latitude","tipi","focus"
NULL,"A33",4,300,"54","MZE54.32","A33 Clairlieu","nancy","44","Grand-Est","Métropole du Grand Nancy","6.125769336289","48.6587558849679","TraficMyrabel",1
NULL,"A33",15,900,"54","MZE54.42","A33 Fléville","nancy","44","Grand-Est","Métropole du Grand Nancy","6.25449105002413","48.618473967848","TraficMyrabel",1
NULL,"A30",22,300,"57","MZ557.51","A30 Aumetz","metz","44","Grand-Est","Metz Métropole","5.95967697851306","49.3913239536086","TraficMyrabel",1
NULL,"A31",341,0,"57","#MZo57.2","A31 Kanfen","metz","44","Grand-Est","Metz Métropole","6.11169155937045","49.4015094447175","TraficMyrabel",1
NULL,"A30",1,0,"57","MZO57.21","A30 Uckange","metz","44","Grand-Est","Metz Métropole","6.16907608591726","49.2928554840613","TraficMyrabel",1
NULL,"A31",290,800,"57","MZO57.51","A31 Fey","metz","44","Grand-Est","Metz Métropole","6.11523193213344","49.0264819957717","TraficMyrabel",1
NULL,"A31",311,400,"57","MZO57.61","A31 St-Rémy","metz","44","Grand-Est","Metz Métropole","6.1766657092624","49.183995432835","TraficMyrabel",1
NULL,"N431",2,200,"57","MZO57.K1","N431 Borny","metz","44","Grand-Est","Metz Métropole","6.23556311738512","49.10034508097","TraficMyrabel",1
NULL,"A6",432,0,"69","MQR69.C1","A6 (1)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.7272273756077","45.9356751889583","TraficLyon",1
NULL,"A6",432,0,"69","MQR69.C2","A6 (2)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.7272273756077","45.9356751889583","TraficLyon",1
NULL,"A46",0,500,"69","MQR69.E1","A46 Nord (1)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.72656924984357","45.9355313663666","TraficLyon",1
NULL,"A46",0,500,"69","MQR69.E2","A46 Nord (2)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.72656924984357","45.9355313663666","TraficLyon",1
NULL,"A46",60,200,"69","MSR69.U1","A46 Sud (1)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.82731156146592","45.5902050706758","TraficLyon",1
NULL,"A46",60,200,"69","MSR69.U2","A46 Sud (2)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.82731156146592","45.5902050706758","TraficLyon",1
NULL,"A47",1,150,"69","MY469.A1","A47","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.78147497669308","45.5884240543401","TraficLyon",1
NULL,"A47",1,150,"69","MY469.A2","A47","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.78147497669308","45.5884240543401","TraficLyon",1
NULL,"A450",5,700,"69","MY569.I1","A450","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.77494401644969","45.6723590693064","TraficLyon",1
NULL,"A450",5,700,"69","MY569.I2","A450","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.77494401644969","45.6723590693064","TraficLyon",1
NULL,"A6",449,520,"69","MY669.E1","A6","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.78465418507498","45.7869536024972","TraficLyon",1
NULL,"A6",449,520,"69","MY669.E2","A6","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.78465418507498","45.7869536024972","TraficLyon",1
NULL,"A7",19,100,"69","MY769.U1","A7 (1)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.79636645687778","45.5967362052122","TraficLyon",1
NULL,"A7",19,100,"69","MY769.U2","A7 (2)","lyon","84","Auvergne-Rhône-Alpes","Métropole de Lyon","4.79636645687778","45.5967362052122","TraficLyon",1
NULL,"A48",97,0,"38","MYI38.41","pique pierre sens1","grenoble","84","Auvergne-Rhône-Alpes","Grenoble-Alpes-Métropole","5.71583953796862","45.2017253041898","TraficGentiane",1
NULL,"A48",97,0,"38","MYI38.42","pique pierre sens2","grenoble","84","Auvergne-Rhône-Alpes","Grenoble-Alpes-Métropole","5.71583953796862","45.2017253041898","TraficGentiane",1
NULL,"A47",4,450,"69","MYR69.31","A47 Givors Centre Commercial sens1","st-etienne","84","Auvergne-Rhône-Alpes","Saint-Etienne Métropole","4.7507377999182","45.5853613774662","TraficHyrondelle",1
NULL,"A47",4,450,"69","MYR69.32","A47 Givors Centre Commercial sens2","st-etienne","84","Auvergne-Rhône-Alpes","Saint-Etienne Métropole","4.7507377999182","45.5853613774662","TraficHyrondelle",1
NULL,"N88",30,600,"42","MYL42.E1","N88 St-Chamond sens1","st-etienne","84","Auvergne-Rhône-Alpes","Saint-Etienne Métropole","4.48740018998802","45.4604505849245","TraficHyrondelle",1
NULL,"N88",30,600,"42","MYL42.E2","N88 St-Chamond sens2","st-etienne","84","Auvergne-Rhône-Alpes","Saint-Etienne Métropole","4.48740018998802","45.4604505849245","TraficHyrondelle",1
NULL,"N88",52,200,"42","MYL42.Q1","N88 Chazeau sens1","st-etienne","84","Auvergne-Rhône-Alpes","Saint-Etienne Métropole","4.27059320157294","45.3712630882401","TraficHyrondelle",1
NULL,"N88",52,200,"42","MYL42.Q2","N88 Chazeau sens2","st-etienne","84","Auvergne-Rhône-Alpes","Saint-Etienne Métropole","4.27059320157294","45.3712630882401","TraficHyrondelle",1
NULL,"A72",12,100,"42","MYL42.51","A72 La Fouillouse sens1","st-etienne","84","Auvergne-Rhône-Alpes","Saint-Etienne Métropole","4.31836129017652","45.4930364020404","TraficHyrondelle",1
NULL,"A72",12,100,"42","MYL42.52","A72 La Fouillouse sens2","st-etienne","84","Auvergne-Rhône-Alpes","Saint-Etienne Métropole","4.31836129017652","45.4930364020404","TraficHyrondelle",1
